Expression	Value	Location	Type	
Var_64	Error (col 1): Unknown or ambiguous symbol. Var_64			
ADC_Data	<array>	0x2000000C	short[1024]	
[191]	2365	0x2000018A	short	
[192]	3299	0x2000018C	short	
[193]	3703	0x2000018E	short	
[194]	1645	0x20000190	short	
[195]	770	0x20000192	short	
[196]	2246	0x20000194	short	
[197]	1129	0x20000196	short	
[198]	2764	0x20000198	short	
[199]	3420	0x2000019A	short	
[200]	1773	0x2000019C	short	
[201]	2846	0x2000019E	short	
[202]	1286	0x200001A0	short	
[203]	669	0x200001A2	short	
[204]	285	0x200001A4	short	
[205]	31	0x200001A6	short	
[206]	2235	0x200001A8	short	
[207]	3130	0x200001AA	short	
[208]	3491	0x200001AC	short	
[209]	1692	0x200001AE	short	
[210]	890	0x200001B0	short	
[211]	2432	0x200001B2	short	
[212]	1101	0x200001B4	short	
[213]	568	0x200001B6	short	
[214]	241	0x200001B8	short	
[215]	2203	0x200001BA	short	
[216]	2908	0x200001BC	short	
[217]	1466	0x200001BE	short	
[218]	719	0x200001C0	short	
[219]	2448	0x200001C2	short	
[220]	3338	0x200001C4	short	
[221]	3724	0x200001C6	short	
[222]	1655	0x200001C8	short	
[223]	776	0x200001CA	short	
[224]	2600	0x200001CC	short	
[225]	3321	0x200001CE	short	
[226]	1477	0x200001D0	short	
[227]	774	0x200001D2	short	
[228]	345	0x200001D4	short	
[229]	2182	0x200001D6	short	
[230]	1181	0x200001D8	short	
[231]	2617	0x200001DA	short	
[232]	3168	0x200001DC	short	
[233]	1566	0x200001DE	short	
[234]	751	0x200001E0	short	
[235]	363	0x200001E2	short	
[236]	119	0x200001E4	short	
[237]	2150	0x200001E6	short	
[238]	3198	0x200001E8	short	
[239]	3651	0x200001EA	short	
[240]	1890	0x200001EC	short	
[241]	2955	0x200001EE	short	
[242]	3589	0x200001F0	short	
[243]	3846	0x200001F2	short	
[244]	1715	0x200001F4	short	
[245]	811	0x200001F6	short	
[246]	2264	0x200001F8	short	
[247]	1167	0x200001FA	short	
[248]	544	0x200001FC	short	
[249]	161	0x200001FE	short	
[250]	1947	0x20000200	short	
[251]	1032	0x20000202	short	
[252]	466	0x20000204	short	
[253]	122	0x20000206	short	
[254]	2280	0x20000208	short	
[255]	3155	0x2000020A	short	
[256]	3683	0x2000020C	short	
[257]	3887	0x2000020E	short	
[258]	1736	0x20000210	short	
[259]	822	0x20000212	short	
[260]	2270	0x20000214	short	
[261]	1144	0x20000216	short	
[262]	2423	0x20000218	short	
[263]	1224	0x2000021A	short	
[264]	2460	0x2000021C	short	
[265]	1246	0x2000021E	short	
[266]	2469	0x20000220	short	
[267]	1265	0x20000222	short	
[268]	616	0x20000224	short	
[269]	2321	0x20000226	short	
[270]	1255	0x20000228	short	
[271]	2653	0x2000022A	short	
[272]	3435	0x2000022C	short	
[273]	3775	0x2000022E	short	
[274]	1680	0x20000230	short	
[275]	790	0x20000232	short	
[276]	2607	0x20000234	short	
[277]	3324	0x20000236	short	
[278]	1477	0x20000238	short	
[279]	775	0x2000023A	short	
[280]	333	0x2000023C	short	
[281]	145	0x2000023E	short	
[282]	0	0x20000240	short	
[283]	2096	0x20000242	short	
[284]	2852	0x20000244	short	
[285]	1440	0x20000246	short	
[286]	707	0x20000248	short	
[287]	2369	0x2000024A	short	
[288]	1072	0x2000024C	short	
[289]	461	0x2000024E	short	
[290]	2448	0x20000250	short	
[291]	3239	0x20000252	short	
[292]	3719	0x20000254	short	
[293]	3848	0x20000256	short	
[294]	3930	0x20000258	short	
[295]	3992	0x2000025A	short	
[296]	2108	0x2000025C	short	
[297]	3073	0x2000025E	short	
[298]	3646	0x20000260	short	
[299]	3869	0x20000262	short	
[300]	2003	0x20000264	short	
[301]	3013	0x20000266	short	
[302]	3435	0x20000268	short	
[303]	1676	0x2000026A	short	
[304]	2682	0x2000026C	short	
[305]	1358	0x2000026E	short	
[306]	2867	0x20000270	short	
[307]	3491	0x20000272	short	
[308]	1801	0x20000274	short	
[309]	2860	0x20000276	short	
[310]	1528	0x20000278	short	
[311]	2780	0x2000027A	short	
[312]	3503	0x2000027C	short	
[313]	3805	0x2000027E	short	
[314]	1968	0x20000280	short	
[315]	2996	0x20000282	short	
[316]	3609	0x20000284	short	
[317]	3811	0x20000286	short	
[318]	3906	0x20000288	short	
[319]	3993	0x2000028A	short	
[320]	2093	0x2000028C	short	
[321]	3037	0x2000028E	short	
[322]	1362	0x20000290	short	
[323]	710	0x20000292	short	
[324]	313	0x20000294	short	
[325]	2165	0x20000296	short	
[326]	982	0x20000298	short	
[327]	504	0x2000029A	short	
[328]	206	0x2000029C	short	
[329]	2113	0x2000029E	short	
[330]	956	0x200002A0	short	
[331]	398	0x200002A2	short	
[332]	2062	0x200002A4	short	
[333]	1066	0x200002A6	short	
[334]	515	0x200002A8	short	
[335]	2342	0x200002AA	short	
[336]	2983	0x200002AC	short	
[337]	1505	0x200002AE	short	
[338]	2594	0x200002B0	short	
[339]	1325	0x200002B2	short	
[340]	627	0x200002B4	short	
[341]	205	0x200002B6	short	
[342]	1967	0x200002B8	short	
[343]	977	0x200002BA	short	
[344]	2344	0x200002BC	short	
[345]	1205	0x200002BE	short	
[346]	566	0x200002C0	short	
[347]	270	0x200002C2	short	
[348]	48	0x200002C4	short	
[349]	2128	0x200002C6	short	
[350]	2865	0x200002C8	short	
[351]	1450	0x200002CA	short	
[352]	2909	0x200002CC	short	
[353]	3481	0x200002CE	short	
[354]	3667	0x200002D0	short	
[355]	1775	0x200002D2	short	
[356]	965	0x200002D4	short	
[357]	2455	0x200002D6	short	
[358]	1326	0x200002D8	short	
[359]	2686	0x200002DA	short	
[360]	3453	0x200002DC	short	
[361]	3782	0x200002DE	short	
[362]	1682	0x200002E0	short	
[363]	875	0x200002E2	short	
[364]	386	0x200002E4	short	
[365]	176	0x200002E6	short	
[366]	43	0x200002E8	short	
[367]	23	0x200002EA	short	
[368]	19	0x200002EC	short	
[369]	0	0x200002EE	short	
[370]	1800	0x200002F0	short	
[371]	961	0x200002F2	short	
[372]	448	0x200002F4	short	
[373]	2232	0x200002F6	short	
[374]	1014	0x200002F8	short	
[375]	429	0x200002FA	short	
[376]	2077	0x200002FC	short	
[377]	1039	0x200002FE	short	
[378]	2723	0x20000300	short	
[379]	3396	0x20000302	short	
[380]	1505	0x20000304	short	
[381]	790	0x20000306	short	
[382]	341	0x20000308	short	
[383]	57	0x2000030A	short	
[384]	0	0x2000030C	short	
[385]	938	0x2000030E	short	
[386]	2328	0x20000310	short	
[387]	1173	0x20000312	short	
[388]	2782	0x20000314	short	
[389]	3410	0x20000316	short	
[390]	3782	0x20000318	short	
[391]	3931	0x2000031A	short	
[392]	1768	0x2000031C	short	
[393]	918	0x2000031E	short	
[394]	408	0x20000320	short	
[395]	91	0x20000322	short	
[396]	2267	0x20000324	short	
[397]	3127	0x20000326	short	
[398]	1396	0x20000328	short	
[399]	731	0x2000032A	short	
[400]	310	0x2000032C	short	
[401]	44	0x2000032E	short	
